538378,1048576,26.573,123883772,109896184,187047,860072
337959,1048576,25.267,115879402,116621602,107016,911990
226737,1048576,26.715,98761735,109663134,331281,859379
77329,1048576,16.512,26399373,80030507,1121,625292
37157,1048576,26.13,97338105,116171973,31725,907889
1929445,1048576,37.982,172383943,99920337,3397,780702
125772,1048576,24.624,84046174,108088450,264372,846554
1120011,1048576,98.573,127356410,88180654,208856239,2320646
223531,1048576,15.155,40362036,83114877,250,649390
145532,1048576,26.859,100354289,112029783,325668,877825
610619,1048576,12.122,61305057,78021905,288,609596
413009,1048576,25.24,93478612,107224573,199478,839299
331244,1048576,26.58,102011997,110422868,330226,865305
2062247,1048576,23.253,215860417,104570310,136137,818065
358944,1048576,25.302,125182076,115707636,146848,905161
1180232,1048576,26.799,136126061,106891605,205323,836742
