538378,1048576,10.963,124592915,109912653,2032974,875539
337959,1048576,9.424,116690399,116632224,1210358,921610
226737,1048576,10.52,99433978,109678728,2065937,873971
77329,1048576,6.081,26991455,80032628,24641,626411
37157,1048576,12.651,98187658,116177357,469799,912271
1929445,1048576,27.387,173130393,99923470,155819,782833
125772,1048576,8.473,84731766,108113569,3208862,870671
1120011,1048576,60.076,131250328,92063255,701701054,6202245
223531,1048576,5.635,40978958,83116869,8205,650380
145532,1048576,9.119,101028535,112049194,2545208,896234
610619,1048576,5.33,61882207,78023957,15314,610646
413009,1048576,9.41,94167878,107240834,2019162,854558
331244,1048576,9.351,102683146,110447643,3230836,889078
2062247,1048576,10.572,216591469,104582139,1392542,828892
358944,1048576,9.005,125978261,115721675,1684372,918198
1180232,1048576,10.663,136812923,106906929,1905848,851064
