321894,627190,15.713,84687358,65797784,22473047,720507
337959,1048576,19.671,126009129,116686700,13997584,1052022
10350,49103,3.223,5280385,5378201,2081934,89264
77329,1048576,18.406,31962168,80055846,72797718,1225229
37157,1048576,21.801,101160178,116237102,12196155,1034420
1929445,1048576,41.641,250089452,100058893,18936123,960688
125772,1048576,19.024,93537681,108171066,24274967,1065763
974974,962318,61.912,121654752,80107567,166935081,1961078
223531,1048576,15.364,50597553,83156782,10679749,764091
139505,1007373,19.341,100197572,107714983,22564596,1048850
610619,1048576,37.195,65201670,78543188,156540688,1867639
201655,507545,9.942,54898332,51945432,8567837,503814
183456,582952,11.656,64734647,61429952,15497246,632037
2062247,1048576,25.752,242562187,104698667,31354914,1093974
358944,1048576,19.484,130352275,115771270,16093777,1061239
1180232,1048576,22.858,172114779,106958882,29759852,1099147
