538378,1048576,26.738,141631859,110019511,37409124,1182807
337959,1048576,20.226,126009129,116686700,13997584,1052022
226737,1048576,28.912,103381700,109869525,60869508,1364944
77329,1048576,17.511,31962168,80055846,72797718,1225229
37157,1048576,22.111,101160178,116237102,12196155,1034420
1929445,1048576,40.72,250089452,100058893,18936123,960688
125772,1048576,19.57,93537681,108171066,24274967,1065763
1120011,1048576,66.919,137824334,87298677,181734298,2132853
223531,1048576,16.045,50597553,83156782,10679749,764091
145532,1048576,20.522,104306589,112110823,23477256,1090310
610619,1048576,38.049,65201670,78543188,156540688,1867639
413009,1048576,20.304,113119671,107308202,18112599,1010892
331244,1048576,21.457,116585251,110513717,27936715,1112680
2062247,1048576,26.587,242562187,104698667,31354914,1093974
358944,1048576,20.109,130352275,115771270,16093777,1061239
1180232,1048576,22.924,172114779,106958882,29759852,1099147
